"","sido","cons","electorate","vote","turnout"
"1","강원","강릉시",184371,122855,66.6346659724143
"2","강원","동해시태백시삼척시정선군",205756,135230,65.7234782946791
"3","강원","속초시인제군고성군양양군",146577,97045,66.2075223261494
"4","강원","원주시갑",152303,94018,61.73089170929
"5","강원","원주시을",141827,91625,64.6033547914008
"6","강원","춘천시철원군화천군양구군갑",192353,131779,68.5089392939024
"7","강원","춘천시철원군화천군양구군을",125459,84432,67.2984799815079
"8","강원","홍성군횡성군영월군평창군",174692,117207,67.0935131545806
"9","경기","고양시갑",217323,144830,66.6427391486405
"10","경기","고양시병",224741,149247,66.4084434971812
"11","경기","고양시을",227546,155449,68.3154175419476
"12","경기","고양시정",235439,162225,68.9031978559202
"13","경기","광명시갑",134409,91285,67.9158389691166
"14","경기","광명시을",131277,91602,69.7776457414475
"15","경기","광주시갑",156890,95752,61.0312958123526
"16","경기","광주시을",155614,93174,59.8750755073451
"17","경기","구리시",168689,111590,66.1513198845212
"18","경기","군포시",232665,160765,69.097199836675
"19","경기","김포시갑",165807,111816,67.4374423275254
"20","경기","김포시을",187295,118595,63.319896420086
"21","경기","남양주시갑",169352,104185,61.5197930936747
"22","경기","남양주시병",213448,144575,67.7331246954762
"23","경기","남양주시을",194104,117404,60.4851007707208
"24","경기","동두천시연천군",118961,73433,61.7286337539193
"25","경기","부천시갑",138380,82208,59.4074288191935
"26","경기","부천시병",201857,129904,64.3544687575858
"27","경기","부천시을",220045,148949,67.6902451771229
"28","경기","부천시정",150459,88552,58.854571677334
"29","경기","성남시분당구갑",208104,157419,75.6443893437896
"30","경기","성남시분당구을",195239,143734,73.6195124949421
"31","경기","성남시수정구",205299,129551,63.1035708892883
"32","경기","성남시중원구",192279,122114,63.5087555063215
"33","경기","수원시갑",197868,131560,66.4887702913053
"34","경기","수원시무",229748,150216,65.3829413096088
"35","경기","수원시병",154623,96070,62.1317656493536
"36","경기","수원시을",213294,140857,66.038894671205
"37","경기","수원시정",201639,139932,69.397289214884
"38","경기","시흥시갑",205939,134026,65.0804364399167
"39","경기","시흥시을",185880,104604,56.2750161394448
"40","경기","안산시단원구갑",132915,76381,57.4660497310311
"41","경기","안산시단원구을",127185,83176,65.3976490938397
"42","경기","안산시상록구갑",167327,101953,60.9303937798443
"43","경기","안산시상록구을",129225,76660,59.3228864383827
"44","경기","안성시",155021,98475,63.5236516342947
"45","경기","안양시동안구갑",145827,102910,70.5699218937508
"46","경기","안양시동안구을",122068,92555,75.8224923812957
"47","경기","안양시만안구",210881,141903,67.2905572337005
"48","경기","양주시",184804,112865,61.0728122767905
"49","경기","여주시양평군",197505,129856,65.7482089061036
"50","경기","오산시",182471,110578,60.6003145705345
"51","경기","용인시갑",212846,133134,62.5494488973248
"52","경기","용인시병",225216,165398,73.4397200909349
"53","경기","용인시을",219373,150616,68.6574920341154
"54","경기","용인시정",206940,150335,72.6466608678844
"55","경기","의왕시과천시",188581,137076,72.6881287086186
"56","경기","의정부시갑",178374,104773,58.7378205343828
"57","경기","의정부시을",207183,129338,62.4269365729814
